camaras	id	mes_dia	procedimiento	estado	acuerdo	desacuerdo	ano	comisiones
	9715	May 29	Aprobación del artículo 8° del Proyecto de ley número 223 de 2013 Senado, como está redactado en la ponencia.	aprobado	100%	0%	2013	Comisión Sexta de Senado
	9896	May 29	Aprobación de la proposición al Proyecto de ley estatutaria 268 de 2013 Cámara y 211 de 2013 Senado, suscrita por el representante Germán Navas Talero.	no-aprobado	4%	96%	2013	Comisión Primera de Cámara de Representantes, Comisión Plenaria de Senado
	9900	May 29	Aprobación de la proposición positiva con que termina el informe de ponencia del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9904	May 29	Aprobación de la solicitud de votación nominal de cada uno de los artículos del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara, suscrita por el ...	no-aprobado	10%	90%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9922	May 29	Aprobación del artículo 3 del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	100%	0%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9923	May 29	Aprobación del artículo 4 del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	100%	0%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9924	May 29	Aprobación del artículo 4 del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	100%	0%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9925	May 29	Aprobación del artículo 9 del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	100%	0%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9926	May 29	Aprobación del artículo 12 del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	95%	5%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9930	May 29	Aprobación del artículo 15 del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	97%	3%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9932	May 29	Aprobación de los artículos 16, 18, 20, 21, 23, 24, 27, 28, 56, 61, 63, 64, 65, 68, 70, 71, 72, 73 del Proyecto de ley estatutaria 211 de 2013 ...	aprobado	100%	0%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9933	May 29	Aprobación del artículo 19 del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	92%	8%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9943	May 29	Aprobación del artículo 22 del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	94%	6%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9944	May 29	Aprobación del artículo 25 del Proyecto de ley estatutaria 211 de 2013 Senado y 268 de 2013 Cámara.	aprobado	95%	5%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9945	May 29	Aprobación del artículo 11 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	94%	6%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9946	May 29	Aprobación del artículo 26 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	82%	18%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9947	May 29	Aprobación del artículo 29 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	95%	5%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9948	May 29	Aprobación del artículo 34 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	90%	10%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9951	May 29	Aprobación del artículo 35 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	93%	7%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9952	May 29	Aprobación del artículo 36 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	92%	8%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9953	May 29	Aprobación del artículo 37 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	92%	8%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9957	May 29	Aprobación del artículo 40 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	89%	11%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9958	May 29	Aprobación del artículo 46 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	95%	5%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9959	May 29	Aprobación del artículo 48 contenido en el pliego de modificaciones en la Comisión primera del Senado.	aprobado	92%	8%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
	9991	May 29	Aprobación del artículo 50 contenido en el pliego de modificaciones en la Comisión primera del Senado y de la Cámara de Representantes.	aprobado	94%	6%	2013	Comisión Primera de Cámara de Representantes, Comisión Primera de Senado
